,titulo,endereco,preco,quartos,suites,banheiros,vagas,privativos,total,infra,coordenadas,link
10,Apartamento 2 Quartos Ressacada 45m²,"Rua Alvaro Beraldi, 460, Ressacada - Itajaí/SC","R$ 275.000,00",2,,1,1,45 M2,56 M2,"['Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Gás Central', 'Playground', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9394379, -48.6906452&zoom=16",https://maximoveis.com.br/imovel/12785/apartamento-2-quartos-parque-europeu-ressacada-itajai/
11,Apartamento 3 Quartos São Vicente 85m²,"Rua São Vicente, 251, São Vicente - Itajaí/SC","R$ 550.000,00",3,1,2,2,85 M2,115 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Jardim', 'Lavanderia', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Quadra de Tênis', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9093895, -48.694985&zoom=16",https://maximoveis.com.br/imovel/12896/apartamento-3-quartos-sao-vicente-home-club-sao-vicente-itajai/
12,Apartamento 2 Quartos Itaipava 44m²,"Rua Maria De Souza Gonçalves, 38, Itaipava - Itajaí/SC","R$ 200.000,00",2,,1,1,44 M2,49 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9434091, -48.7474332&zoom=16",https://maximoveis.com.br/imovel/12704/apartamento-2-quartos-luna-bella-itaipava-itajai/
13,Apartamento 2 Quartos Itaipava 49m²,"Avenida Itaipava, 3868, Itaipava - Itajaí/SC","R$ 240.000,00",2,,1,1,49 M2,53 M2,"['Condomínio Fechado', 'Estacionamento', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Salão de Festas', 'Vigilância 24 horas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9438009, -48.7391063&zoom=16",https://maximoveis.com.br/imovel/10519/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/
14,Apartamento 3 Quartos Centro 88m²,"Rua Uruguai, 233, Centro - Itajaí/SC","R$ 470.000,00",3,1,1,1,88 M2,119 M2,"['Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Interfone', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9112181, -48.662647100000015&zoom=16",https://maximoveis.com.br/imovel/3994/apartamento-3-quartos-parque-das-flores-centro-itajai/
15,Apartamento 3 Quartos Centro 94m²,"Rua Nicolau Kleis, 305, Centro - Navegantes/SC","R$ 590.000,00",3,1,2,1,94 M2,139 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8939649000000000, -48.6462110000000000&zoom=16",https://maximoveis.com.br/imovel/6194/apartamento-3-quartos-ilha-de-paqueta-residence-centro-navegantes/
16,Apartamento 2 Quartos Espinheiros 56m²,"Rua Fermino Vieira Cordeiro, 1200, Espinheiros - Itajaí/SC","R$ 280.000,00",2,,1,1,56 M2,67 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Estacionamento', 'Guarita', 'Interfone', 'Jardim', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Quiosque', 'Salão de Festas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8962092, -48.7306507&zoom=16",https://maximoveis.com.br/imovel/12403/apartamento-2-quartos-vitta-club-espinheiros-itajai/
17,Apartamento 3 Quartos Centro 129m²,"Rua Heitor Liberato, 1040, Centro - Itajaí/SC","R$ 580.000,00",3,2,3,1,129 M2,141 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.906711, -48.673408499999994&zoom=16",https://maximoveis.com.br/imovel/2576/apartamento-3-quartos-emendorfer-centro-itajai/
18,Apartamento 3 Quartos Centro 107m²,"Rua Brasília, 115, Centro - Navegantes/SC","R$ 639.000,00",3,1,2,1,107 M2,167 M2,"['Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Gás Central', 'Interfone', 'Piscina Coletiva', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8983015, -48.6446276&zoom=16",https://maximoveis.com.br/imovel/11553/apartamento-3-quartos-ilha-de-vancouver-centro-navegantes/
19,Apartamento 3 Quartos Fazenda 137m²,"Rua Lauro Muller, 236, Fazenda - Itajaí/SC","R$ 1.300.000,00",3,3,4,2,137 M2,,"['Aquecimento Central', 'Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Gás Central', 'Interfone', 'Piscina Aquecida', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.90715, -48.6553818&zoom=16",https://maximoveis.com.br/imovel/10130/apartamento-3-quartos-vivacita-residencial-fazenda-itajai/
20,Apartamento 2 Quartos Cordeiros 56m²,"Rua São Paulo, 270, Cordeiros - Itajaí/SC","R$ 375.000,00",2,,1,1,56 M2,69 M2,"['Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Interfone', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8889301, -48.6966767&zoom=16",https://maximoveis.com.br/imovel/12658/apartamento-2-quartos-lago-maggiore-residenze-cordeiros-itajai/
21,Apartamento 3 Quartos Meia Praia 84m²,"Rua Vereador Thimóteo Goes Rebelo, 480, Meia Praia - Navegantes/SC","R$ 300.000,00",3,,2,1,84 M2,,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8617705000000000, -48.6459121000000000&zoom=16",https://maximoveis.com.br/imovel/12083/apartamento-3-quartos-residencial-carlos-volter-meia-praia-navegantes/
22,Apartamento 2 Quartos Nações 74m²,"Rua Jordânia, 138, Nações - Balneário Camboriú/SC","R$ 690.000,00",2,2,2,2,74 M2,83 M2,"['Bicicletário', 'Condomínio Fechado', 'Gás Central', 'Interfone', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9810408000000000, -48.6419031000000000&zoom=16",https://maximoveis.com.br/imovel/11687/apartamento-2-quartos-solar-das-araucarias-bc-na%C3%A7oes-balneario-camboriu/
23,Apartamento 2 Quartos Centro 68m²,"Rua Juvenal Garcia, 246, Centro - Itajaí/SC","R$ 520.000,00",2,1,2,1,68 M2,95 M2,"['Condomínio Fechado', 'Elevador', 'Gás Central', 'Interfone', 'Playground', 'Salão de Festas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.913588, -48.664102000000014&zoom=16",https://maximoveis.com.br/imovel/5174/apartamento-2-quartos-residencial-peter-brook-centro-itajai/
24,Apartamento 3 Quartos Centro 156m²,"Rua 1401, 77, Centro - Balneário Camboriú/SC","R$ 10.500,00",3,3,5,3,156 M2,261 M2,"['Elevador de Serviço', 'Gás Central', 'Interfone', 'Piscina Coletiva', 'Salão de Festas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9787626, -48.6360723&zoom=16",https://maximoveis.com.br/imovel/12117/apartamento-3-quartos-maria-regina-vanzo-centro-balneario-camboriu/
25,Apartamento 2 Quartos São Vicente 59m²,"Rua Higina De Andrade Correa, 312, São Vicente - Itajaí/SC","R$ 300.000,00",2,,1,1,59 M2,64 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9105046, -48.7042688&zoom=16",https://maximoveis.com.br/imovel/12583/apartamento-2-quartos-condominio-residencial-victoria-sao-vicente-itajai/
26,Apartamento 2 Quartos Fazenda 82m²,"Rua Onze De Junho, 189, Fazenda - Itajaí/SC","R$ 1.200.000,00",2,2,3,2,82 M2,129 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Circuito Fechado de TV', 'Depósito', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Gás Central', 'Piscina Aquecida', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Quadra de Esportes', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9216521, -48.6504408&zoom=16",https://maximoveis.com.br/imovel/12770/apartamento-2-quartos-lotisa-home-club-fazenda-itajai/
27,Apartamento 2 Quartos Centro 73m²,"Avenida João Sacavem, 990, Centro - Navegantes/SC","R$ 697.991,00",2,2,3,2,73 M2,,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Porteiro Eletrônico', 'Sala Fitness', 'Salão de Festas', 'Vigilância 24 horas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9023079, -48.644498999999996&zoom=16",https://maximoveis.com.br/imovel/11905/apartamento-2-quartos-990-square-centro-navegantes/
28,Apartamento 3 Quartos Fazenda 108m²,"Rua Onze De Junho, 189, Fazenda - Itajaí/SC","R$ 1.490.000,00",3,3,4,3,108 M2,171 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Circuito Fechado de TV', 'Depósito', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Gás Central', 'Piscina Aquecida', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Quadra de Esportes', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9216521, -48.6504408&zoom=16",https://maximoveis.com.br/imovel/12066/apartamento-3-quartos-lotisa-home-club-fazenda-itajai/
29,Apartamento 2 Quartos Balneário Santa Clara 93m²,"Rua Cabo-Polícia Militar Antônio Rudolf, 155, Balneário Santa Clara - Itajaí/SC","R$ 1.550.000,00",2,2,3,2,93 M2,144 M2,"['Bicicletário', 'Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9458586, -48.6426472&zoom=16",https://maximoveis.com.br/imovel/12893/apartamento-2-quartos-brava-ocean-balneario-santa-clara-itajai/
30,Apartamento 2 Quartos Centro 55m²,"Rua Abércio Werner, 58, Centro - Itajaí/SC","R$ 430.000,00",2,1,2,1,55 M2,83 M2,"['Elevador', 'Interfone', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9147279, -48.6677721&zoom=16",https://maximoveis.com.br/imovel/8349/apartamento-2-quartos-downtown-residence-centro-itajai/
31,Apartamento 2 Quartos Praia Brava 69m²,"Rodovia Osvaldo Reis, 2000, Praia Brava - Itajaí/SC","R$ 755.000,00",2,,1,1,69 M2,127 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Estacionamento', 'Lavanderia', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Sauna Condominial']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9398695, -48.6415507&zoom=16",https://maximoveis.com.br/imovel/12188/apartamento-2-quartos-maxhaus-praia-brava-praia-brava-itajai/
32,Apartamento 2 Quartos Cidade Nova 50m²,"Avenida Ministro Luiz Gallotti, 251, Cidade Nova - Itajaí/SC","R$ 275.000,00",2,,1,1,50 M2,55 M2,"['Bicicletário', 'Churrasqueira Condominial', 'Condomínio Fechado', 'Estacionamento', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9194939, -48.70439320000003&zoom=16",https://maximoveis.com.br/imovel/6115/apartamento-2-quartos-residencial-portal-de-itajai-cidade-nova-itajai/
33,Apartamento 2 Quartos São João 59m²,"Rua José Pereira Liberato, 1637, São João - Itajaí/SC","R$ 460.000,00",2,1,1,1,59 M2,86 M2,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9029072, -48.683207400000015&zoom=16",https://maximoveis.com.br/imovel/5261/apartamento-2-quartos-fit-sao-joao-sao-joao-itajai/
34,Apartamento 2 Quartos Fazendinha 48m²,"Rua Maria Sedrez, 174, Fazendinha - Itajaí/SC","R$ 350.000,00",2,,1,1,48 M2,55 M2,"['Bicicletário', 'Interfone', 'Playground', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9322194, -48.64816099999999&zoom=16",https://maximoveis.com.br/imovel/12903/apartamento-2-quartos-marazul-fazendinha-itajai/
35,Apartamento 2 Quartos Centro 60m²,"Rua Lauro Amandio Couto, 281, Centro - Navegantes/SC","R$ 280.000,00",2,1,2,1,60 M2,63 M2,['Jardim'],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8864912000000000, -48.6486362000000000&zoom=16",https://maximoveis.com.br/imovel/7092/apartamento-2-quartos-residencial-italia-ii-centro-navegantes/
36,Apartamento 2 Quartos Centro 83m²,"Rua Comandante Francisco Dias, 535, Centro - Navegantes/SC","R$ 530.000,00",2,1,2,1,83 M2,104 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8902968, -48.6520271&zoom=16",https://maximoveis.com.br/imovel/12244/apartamento-2-quartos-centro-navegantes/
37,Apartamento 1 Quarto Dom Bosco 56m²,"Rua Ulisses Machado Dutra, 90, Dom Bosco - Itajaí/SC","R$ 320.000,00",1,,1,1,56 M2,69 M2,"['Elevador', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9171108, -48.67194330000001&zoom=16",https://maximoveis.com.br/imovel/3422/apartamento-1-quarto-studio-uno-dom-bosco-itajai/
38,Apartamento 2 Quartos Centro 66m²,"Rua Marcos Gustavo Heusi, 41, Centro - Navegantes/SC","R$ 390.000,00",2,,1,1,66 M2,122 M2,"['Elevador', 'Quiosque', 'Terraço Coletivo']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8945158, -48.64361730000002&zoom=16",https://maximoveis.com.br/imovel/3528/apartamento-2-quartos-residencial-royal-centro-navegantes/
39,Apartamento 3 Quartos Fazenda 84m²,"Rua Onze De Junho, 233, Fazenda - Itajaí/SC","R$ 920.000,00",3,1,2,2,84 M2,124 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9218338, -48.6511398&zoom=16",https://maximoveis.com.br/imovel/8279/apartamento-3-quartos-opera-club-residence-fazenda-itajai/
40,Apartamento 3 Quartos Vila Operária 83m²,"Avenida Getúlio Vargas, 542, Vila Operária - Itajaí/SC","R$ 735.000,00",3,1,3,2,83 M2,98 M2,"['Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9117731, -48.6724659&zoom=16",https://maximoveis.com.br/imovel/11783/apartamento-3-quartos-villa-di-fiori-vila-operaria-itajai/
41,Apartamento 3 Quartos Centro 98m²,"Rua Camboriú, 333, Centro - Itajaí/SC","R$ 750.000,00",3,1,2,2,98 M2,124 M2,"['Condomínio Fechado', 'Depósito', 'Elevador', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Salão de Festas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9107717, -48.6562966&zoom=16",https://maximoveis.com.br/imovel/11878/apartamento-3-quartos-amadryas-centro-itajai/
42,Apartamento 2 Quartos São João 67m²,"Rua Fridolim Herthal Júnior, 235, São João - Itajaí/SC","R$ 626.280,00",2,1,2,1,67 M2,,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Sala Fitness', 'Salão de Festas', 'Terraço Coletivo']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9022382, -48.6806661&zoom=16",https://maximoveis.com.br/imovel/10834/apartamento-2-quartos-villa-mariana-sao-joao-itajai/
43,Apartamento 2 Quartos São Paulo 44m²,"Rua Júlio Madruga Mendes, 101, São Paulo - Navegantes/SC","R$ 223.020,00",2,,1,1,44 M2,,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Piscina Coletiva', 'Playground', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8748712, -48.6610588&zoom=16",https://maximoveis.com.br/imovel/11359/apartamento-2-quartos-residencial-ilhas-do-caribe-2-sao-paulo-navegantes/
44,Apartamento 3 Quartos Fazenda 144m²,"Lauro Muller, 1200, Fazenda - Itajaí/SC","R$ 2.395.000,00",3,3,4,2,144 M2,228 M2,"['Brinquedoteca', 'Churrasqueira Condominial', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Porteiro Eletrônico', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Spa', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9159154, -48.6538878&zoom=16",https://maximoveis.com.br/imovel/9947/apartamento-3-quartos-marine-vision-fazenda-itajai/
45,Apartamento 2 Quartos Meia Praia 60m²,"Rua Gervásio De Souza, 295, Meia Praia - Navegantes/SC","R$ 315.000,00",2,,1,1,60 M2,,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8551014, -48.6414377&zoom=16",https://maximoveis.com.br/imovel/10283/apartamento-2-quartos-chiquetti-residencial-meia-praia-navegantes/
